,HashWord,Frequency,State
687,fans,21,Telangana
688,accurate,21,Telangana
689,level,21,Telangana
690,b#telanganaelections,21,Telangana
691,neck,21,Telangana
692,follow,21,Telangana
693,chances,21,Telangana
694,brother,21,Telangana
695,corrupt,21,Telangana
696,mafia,21,Telangana
697,anti,21,Telangana
698,care,21,Telangana
699,electoral,21,Telangana
700,whats,21,Telangana
701,post,21,Telangana
702,siddipet,21,Telangana
703,parade,21,Telangana
704,someone,21,Telangana
705,#pawankalyan,21,Telangana
706,gonna,21,Telangana
707,#telugudesam,21,Telangana
708,together,21,Telangana
709,past,21,Telangana
710,call,21,Telangana
711,large,21,Telangana
712,second,21,Telangana
713,lead,20,Telangana
714,listen,20,Telangana
715,either,20,Telangana
716,put,20,Telangana
717,#electionswithndtv,20,Telangana
718,crore,20,Telangana
719,@tswithkcr,20,Telangana
720,#narendramodi,20,Telangana
721,80,20,Telangana
722,meetings,20,Telangana
723,serilingampally,20,Telangana
724,asked,20,Telangana
725,congratulations,20,Telangana
726,mahakutami,20,Telangana
727,hyd,20,Telangana
728,irrigation,20,Telangana
729,#tollywood,20,Telangana
730,enough,20,Telangana
731,@youtube,20,Telangana
732,ncbn,20,Telangana
733,35,20,Telangana
734,losing,20,Telangana
735,#evm,20,Telangana
736,9,20,Telangana
737,warangal,20,Telangana
738,living,20,Telangana
739,caretaker,20,Telangana
740,13,20,Telangana
741,latest,20,Telangana
742,join,20,Telangana
743,@ghmconline,20,Telangana
744,#nota,20,Telangana
745,answer,19,Telangana
746,commissioner,19,Telangana
747,mizoram,19,Telangana
748,politician,19,Telangana
749,chattisgarh,19,Telangana
750,proud,19,Telangana
751,confirmed,19,Telangana
752,#voteforcar#teamktr,19,Telangana
753,highest,19,Telangana
754,loosing,19,Telangana
755,1015,19,Telangana
756,positive,19,Telangana
757,vote#telanganaelections,19,Telangana
758,60,19,Telangana
759,bdont,19,Telangana
760,#prajakutamifortelangana,19,Telangana
761,#telugu,19,Telangana
762,elect,19,Telangana
763,twitter,19,Telangana
764,23,19,Telangana
765,everything,19,Telangana
766,lakhs,19,Telangana
767,mass,19,Telangana
768,various,19,Telangana
769,five,19,Telangana
770,cause,19,Telangana
771,promise,19,Telangana
772,loss,19,Telangana
773,retain,19,Telangana
774,#rrr,19,Telangana
775,contest,19,Telangana
776,1100,19,Telangana
777,despite,19,Telangana
778,todays,19,Telangana
779,turned,19,Telangana
780,record,19,Telangana
781,impact,19,Telangana
782,office,19,Telangana
783,mlas,19,Telangana
784,finger,19,Telangana
785,goes,19,Telangana
786,employees,19,Telangana
787,#telanaganaelections2018,19,Telangana
788,rest,19,Telangana
789,issues,18,Telangana
790,supports,18,Telangana
791,ni,18,Telangana
792,inked,18,Telangana
793,fan,18,Telangana
794,#ntvtelugu,18,Telangana
795,45,18,Telangana
796,defeat,18,Telangana
797,edge,18,Telangana
798,run,18,Telangana
799,#janasena,18,Telangana
800,atleast,18,Telangana
801,actor,18,Telangana
802,hung,18,Telangana
803,center,18,Telangana
804,war,18,Telangana
805,#kavitha,18,Telangana
806,year,18,Telangana
807,lesson,18,Telangana
808,speaking,18,Telangana
809,note,18,Telangana
810,234,18,Telangana
811,@aajtak,18,Telangana
812,muslim,18,Telangana
813,indias,18,Telangana
814,40,18,Telangana
815,kumar,18,Telangana
816,blame,18,Telangana
817,confidence,18,Telangana
818,decision,18,Telangana
819,#mp,18,Telangana
820,37,18,Telangana
821,using,18,Telangana
822,local,18,Telangana
823,#kcrs,18,Telangana
824,focuses,18,Telangana
825,@hihyderabad,18,Telangana
826,#mizoramelections2018,18,Telangana
827,#karimnagar,18,Telangana
828,ensure,18,Telangana
829,amit,18,Telangana
830,easy,18,Telangana
831,aimim,18,Telangana
832,pics,18,Telangana
833,upto,18,Telangana
834,contested,18,Telangana
835,@ysrcparty,18,Telangana
836,game,18,Telangana
837,padma,18,Telangana
838,contesting,18,Telangana
839,ashirvada,18,Telangana
840,super,18,Telangana
841,isnt,17,Telangana
842,goshamahal,17,Telangana
843,shah,17,Telangana
844,statechoose,17,Telangana
845,#telanganaelections2018#telanganaelections,17,Telangana
846,mega,17,Telangana
847,finally,17,Telangana
848,important,17,Telangana
849,valuable,17,Telangana
850,complain,17,Telangana
851,residents,17,Telangana
852,v,17,Telangana
853,cadre,17,Telangana
854,@sampathkp,17,Telangana
855,@guttajwala,17,Telangana
856,thought,17,Telangana
857,asking,17,Telangana
858,@tdptrending,17,Telangana
859,least,17,Telangana
860,term,17,Telangana
861,half,17,Telangana
862,yrs,17,Telangana
863,track,17,Telangana
864,likely,17,Telangana
865,front,17,Telangana
866,situation,17,Telangana
867,three,17,Telangana
868,tell,17,Telangana
869,ends,17,Telangana
870,90,17,Telangana
