HashWord,Frequency,State
waste,14,Telangana
.',14,Telangana
gives,14,Telangana
credibility,14,Telangana
"mailardevpally,",14,Telangana
"trs,",14,Telangana
luck,14,Telangana
aimim,14,Telangana
interested,14,Telangana
voted.,14,Telangana
#kcrranaway,14,Telangana
#khallaskcr',14,Telangana
trends,14,Telangana
9.3,14,Telangana
"show,",14,Telangana
#dec11electionresults,14,Telangana
prajakutami,14,Telangana
#medchal,14,Telangana
land,14,Telangana
@btr_ktr,14,Telangana
pawan,14,Telangana
unable,14,Telangana
hyd,14,Telangana
ram,14,Telangana
issue,14,Telangana
makes,14,Telangana
#electionday,14,Telangana
wise,14,Telangana
#cpm,14,Telangana
present,14,Telangana
educated,14,Telangana
loose,14,Telangana
#dec11withap24x7live,14,Telangana
game,14,Telangana
bjp's,14,Telangana
#dec11withvenkatakrishna,14,Telangana
#venkatakrishna,14,Telangana
chandrashekar,14,Telangana
#hyderabad',14,Telangana
#bsp,14,Telangana
extended,14,Telangana
states.,14,Telangana
almost,14,Telangana
polled,14,Telangana
predicting,14,Telangana
takes,14,Telangana
ga,14,Telangana
spent,14,Telangana
"elections,",14,Telangana
"b""if",14,Telangana
#telangana2018,14,Telangana
#andhra,14,Telangana
chhattisgarh,14,Telangana
#verdicttelangana,14,Telangana
#telanganapolls2018,14,Telangana
atleast,14,Telangana
winner,14,Telangana
answer,14,Telangana
deleted,14,Telangana
schools,14,Telangana
today's,14,Telangana
#vktimes,14,Telangana
role,14,Telangana
pics,14,Telangana
#serilingampally,14,Telangana
helping,14,Telangana
four,14,Telangana
community,13,Telangana
party's,13,Telangana
#kcrbogusmanifesto,13,Telangana
heard,13,Telangana
wanted,13,Telangana
pappu,13,Telangana
hour,13,Telangana
battle,13,Telangana
rural,13,Telangana
mr,13,Telangana
cash,13,Telangana
removed,13,Telangana
lesson,13,Telangana
saw,13,Telangana
#telugudesamparty,13,Telangana
year,13,Telangana
hi,13,Telangana
#bigday#rajathkumar,13,Telangana
india's,13,Telangana
#voteforcycle,13,Telangana
75,13,Telangana
dreams,13,Telangana
pulse,13,Telangana
dot,13,Telangana
experience,13,Telangana
#balakrishna,13,Telangana
#exitpolls2018,13,Telangana
#ktrtrs,13,Telangana
's,13,Telangana
prove,13,Telangana
#rajasthanelection2018,13,Telangana
meetings,13,Telangana
defeat,13,Telangana
price,13,Telangana
inked,13,Telangana
exercising,13,Telangana
@99tvtelugu,13,Telangana
#telanganawithrahulgandhi,13,Telangana
son,13,Telangana
#votetoday,13,Telangana
80,13,Telangana
kcr.,13,Telangana
win.,13,Telangana
#ntvnews,13,Telangana
#poll,13,Telangana
enjoy,13,Telangana
none,13,Telangana
catch,13,Telangana
@iamnagarjuna,13,Telangana
plz,13,Telangana
reports,13,Telangana
swing,13,Telangana
whose,13,Telangana
interest,13,Telangana
near,13,Telangana
visit,13,Telangana
i've,13,Telangana
worth,13,Telangana
religion,13,Telangana
early,13,Telangana
garu#telanganawithkcr,13,Telangana
story,13,Telangana
slams,13,Telangana
fall,13,Telangana
#kcrs,13,Telangana
#mizoramelections2018,13,Telangana
#government,13,Telangana
symbol,13,Telangana
thinking,13,Telangana
race,13,Telangana
whatsapp,13,Telangana
se,13,Telangana
level,13,Telangana
basis,13,Telangana
ndtv,13,Telangana
surprised,13,Telangana
italian,13,Telangana
forward,13,Telangana
including,13,Telangana
sea,13,Telangana
#gajwel,13,Telangana
though,13,Telangana
#siddipet,13,Telangana
teach,13,Telangana
region,13,Telangana
#janasenatarangam,13,Telangana
forming,13,Telangana
#nagarjuna,13,Telangana
#chief,13,Telangana
appeal,13,Telangana
#congressmukttelangana,13,Telangana
"#telangana""",13,Telangana
#righttovote,13,Telangana
exclusive,13,Telangana
day.,12,Telangana
reach,12,Telangana
celebs,12,Telangana
project,12,Telangana
perfect,12,Telangana
owaisi,12,Telangana
#nota,12,Telangana
#congress',12,Telangana
mind,12,Telangana
#kutami,12,Telangana
election.,12,Telangana
arrangements,12,Telangana
tollywood,12,Telangana
#moosapeta#mothinagar#allapur,12,Telangana
60,12,Telangana
employment,12,Telangana
created,12,Telangana
speaks,12,Telangana
"india,",12,Telangana
checked,12,Telangana
republic,12,Telangana
announced,12,Telangana
#dec11',12,Telangana
#democracy,12,Telangana
celebrate,12,Telangana
provide,12,Telangana
declared,12,Telangana
300,12,Telangana
"b""the",12,Telangana
begins,12,Telangana
notes,12,Telangana
outside,12,Telangana
special,12,Telangana
imagine,12,Telangana
#megastarchiranjeevi,12,Telangana
twitter,12,Telangana
personal,12,Telangana
response,12,Telangana
56.17%,12,Telangana
car.,12,Telangana
following,12,Telangana
@youtube,12,Telangana
nearly,12,Telangana
shah,12,Telangana
"so,",12,Telangana
villages,12,Telangana
"2014,",12,Telangana
center,12,Telangana
interesting,12,Telangana
scamgress,12,Telangana
rashtra,12,Telangana
opportunity,12,Telangana
whatever,12,Telangana
bcoz,12,Telangana
gathering,12,Telangana
miss,12,Telangana
moral,12,Telangana
born,12,Telangana
month,12,Telangana
underway,12,Telangana
#voteformahakutami,12,Telangana
matter,12,Telangana
#telanaganaelections2018,12,Telangana
attack,12,Telangana
....,12,Telangana
#exitpolls',12,Telangana
cantonment,12,Telangana
participate,12,Telangana
pouring,12,Telangana
release,12,Telangana
step,12,Telangana
age,12,Telangana
term,12,Telangana
front,12,Telangana
telangana:,12,Telangana
90,12,Telangana
word,12,Telangana
spirit,12,Telangana
exercised,12,Telangana
@abntelugutv,12,Telangana
complete,12,Telangana
joined,12,Telangana
"time,",12,Telangana
nice,12,Telangana
20,12,Telangana
create,12,Telangana
democratic,12,Telangana
#tselections2018,12,Telangana
requesting,12,Telangana
choice,12,Telangana
court,11,Telangana
rowdy,11,Telangana
#telanganaelections.,11,Telangana
loses,11,Telangana
#electionswithnews18,11,Telangana
